Year,Month,Measure,Value
1889,May,max,91
1889,May,mean,51
1889,May,min,41
1889,Jun,max,87
1889,Jun,mean,61
1889,Jun,min,50
1889,Jul,max,86
1889,Jul,mean,63
1889,Jul,min,55
1889,Aug,max,84
1889,Aug,mean,61
1889,Aug,min,52
1889,Sep,max,83
1889,Sep,mean,57
1889,Sep,min,43
1889,Oct,max,74
1889,Oct,mean,42
1889,Oct,min,32
1889,Nov,max,66
1889,Nov,mean,39
1889,Nov,min,21
1889,Dec,max,65
1889,Dec,mean,31
1889,Dec,min,10
1890,Jan,max,66
1890,Jan,mean,24
1890,Jan,min,8
1890,Feb,max,64
1890,Feb,mean,25
1890,Feb,min,5
1890,Mar,max,68
1890,Mar,mean,28
1890,Mar,min,4
1890,Apr,max,72
1890,Apr,mean,38
1890,Apr,min,26
1890,May,max,80
1890,May,mean,49
1890,May,min,39
1890,Jun,max,87
1890,Jun,mean,56
1890,Jun,min,50
1890,Jul,max,95
1890,Jul,mean,63
1890,Jul,min,52
1890,Aug,max,89
1890,Aug,mean,62
1890,Aug,min,50
1890,Sep,max,83
1890,Sep,mean,56
1890,Sep,min,39
1890,Oct,max,77
1890,Oct,mean,46
1890,Oct,min,36
1890,Nov,max,64
1890,Nov,mean,34
1890,Nov,min,15
1890,Dec,max,56
1890,Dec,mean,18
1890,Dec,min,0
1891,Jan,max,56
1891,Jan,mean,25
1891,Jan,min,12
1891,Feb,max,62
1891,Feb,mean,24
1891,Feb,min,2
1891,Mar,max,55
1891,Mar,mean,27
1891,Mar,min,3
1891,Apr,max,78
1891,Apr,mean,39
1891,Apr,min,27
1891,May,max,81
1891,May,mean,47
1891,May,min,33
1891,Jun,max,96
1891,Jun,mean,57
1891,Jun,min,45
1891,Jul,max,90
1891,Jul,mean,61
1891,Jul,min,56
1891,Aug,max,90
1891,Aug,mean,63
1891,Aug,min,54
1891,Sep,max,90
1891,Sep,mean,60
1891,Sep,min,50
1891,Oct,max,83
1891,Oct,mean,44
1891,Oct,min,28
1891,Nov,max,66
1891,Nov,mean,34
1891,Nov,min,9
1891,Dec,max,64
1891,Dec,mean,33
1891,Dec,min,11
1892,Jan,max,63
1892,Jan,mean,21
1892,Jan,min,1
1892,Feb,max,46
1892,Feb,mean,23
1892,Feb,min,5
1892,Mar,max,56
1892,Mar,mean,26
1892,Mar,min,14
1892,Apr,max,77
1892,Apr,mean,39
1892,Apr,min,27
1892,May,max,78
1892,May,mean,49
1892,May,min,39
1892,Jun,max,96
1892,Jun,mean,61
1892,Jun,min,49
1892,Jul,max,96
1892,Jul,mean,65
1892,Jul,min,54
1892,Aug,max,94
1892,Aug,mean,64
1892,Aug,min,55
1892,Sep,max,80
1892,Sep,mean,54
1892,Sep,min,46
1892,Oct,max,78
1892,Oct,mean,45
1892,Oct,min,36
1892,Nov,max,66
1892,Nov,mean,35
1892,Nov,min,20
1892,Dec,max,48
1892,Dec,mean,24
1892,Dec,min,0
1893,Jan,max,53
1893,Jan,mean,12
1893,Jan,min,-4
1893,Feb,max,53
1893,Feb,mean,18
1893,Feb,min,-1
1893,Mar,max,58
1893,Mar,mean,27
1893,Mar,min,13
1893,Apr,max,68
1893,Apr,mean,36
1893,Apr,min,26
1893,May,max,88
1893,May,mean,48
1893,May,min,38
1893,Jun,max,94
1893,Jun,mean,57
1893,Jun,min,52
1893,Jul,max,91
1893,Jul,mean,62
1893,Jul,min,54
1893,Aug,max,93
1893,Aug,mean,62
1893,Aug,min,53
1893,Sep,max,80
1893,Sep,mean,52
1893,Sep,min,43
1893,Oct,max,79
1893,Oct,mean,48
1893,Oct,min,30
1893,Nov,max,68
1893,Nov,mean,34
1893,Nov,min,20
1893,Dec,max,57
1893,Dec,mean,20
1893,Dec,min,0
1894,Jan,max,56
1894,Jan,mean,23
1894,Jan,min,2
1894,Feb,max,51
1894,Feb,mean,19
1894,Feb,min,-7
1894,Mar,max,70
1894,Mar,mean,34
1894,Mar,min,20
1894,Apr,max,79
1894,Apr,mean,39
1894,Apr,min,23
1894,May,max,88
1894,May,mean,49
1894,May,min,39
1894,Jun,max,95
1894,Jun,mean,59
1894,Jun,min,47
1894,Jul,max,97
1894,Jul,mean,65
1894,Jul,min,56
1894,Aug,max,90
1894,Aug,mean,60
1894,Aug,min,47
1894,Sep,max,88
1894,Sep,mean,58
1894,Sep,min,42
1894,Oct,max,76
1894,Oct,mean,47
1894,Oct,min,38
1894,Nov,max,66
1894,Nov,mean,32
1894,Nov,min,15
1894,Dec,max,55
1894,Dec,mean,25
1894,Dec,min,8
1895,Jan,max,54
1895,Jan,mean,21
1895,Jan,min,4
1895,Feb,max,46
1895,Feb,mean,16
1895,Feb,min,-6
1895,Mar,max,58
1895,Mar,mean,28
1895,Mar,min,14
1895,Apr,max,80
1895,Apr,mean,38
1895,Apr,min,27
1895,May,max,90
1895,May,mean,50
1895,May,min,36
1895,Jun,max,96
1895,Jun,mean,60
1895,Jun,min,50
1895,Jul,max,85
1895,Jul,mean,62
1895,Jul,min,54
1895,Aug,max,89
1895,Aug,mean,63
1895,Aug,min,50
1895,Sep,max,96
1895,Sep,mean,57
1895,Sep,min,42
1895,Oct,max,70
1895,Oct,mean,41
1895,Oct,min,32
1895,Nov,max,73
1895,Nov,mean,38
1895,Nov,min,21
1895,Dec,max,64
1895,Dec,mean,28
1895,Dec,min,8
1896,Jan,max,45
1896,Jan,mean,18
1896,Jan,min,-10
1896,Feb,max,56
1896,Feb,mean,20
1896,Feb,min,-11
1896,Mar,max,64
1896,Mar,mean,24
1896,Mar,min,12
1896,Apr,max,84
1896,Apr,mean,39
1896,Apr,min,25
1896,May,max,94
1896,May,mean,51
1896,May,min,38
1896,Jun,max,92
1896,Jun,mean,58
1896,Jun,min,49
1896,Jul,max,93
1896,Jul,mean,64
1896,Jul,min,57
1896,Aug,max,95
1896,Aug,mean,63
1896,Aug,min,52
1896,Sep,max,90
1896,Sep,mean,55
1896,Sep,min,40
1896,Oct,max,76
1896,Oct,mean,44
1896,Oct,min,33
1896,Nov,max,72
1896,Nov,mean,38
1896,Nov,min,22
1896,Dec,max,58
1896,Dec,mean,23
1896,Dec,min,4
1897,Jan,max,60
1897,Jan,mean,21
1897,Jan,min,2
1897,Feb,max,52
1897,Feb,mean,24
1897,Feb,min,12
1897,Mar,max,57
1897,Mar,mean,29
1897,Mar,min,7
1897,Apr,max,81
1897,Apr,mean,40
1897,Apr,min,21
1897,May,max,76
1897,May,mean,50
1897,May,min,39
1897,Jun,max,87
1897,Jun,mean,54
1897,Jun,min,47
1897,Jul,max,94
1897,Jul,mean,64
1897,Jul,min,55
1897,Aug,max,86
1897,Aug,mean,62
1897,Aug,min,53
1897,Sep,max,94
1897,Sep,mean,54
1897,Sep,min,41
1897,Oct,max,88
1897,Oct,mean,46
1897,Oct,min,32
1897,Nov,max,68
1897,Nov,mean,33
1897,Nov,min,13
1897,Dec,max,64
1897,Dec,mean,28
1897,Dec,min,9
1898,Jan,max,55
1898,Jan,mean,22
1898,Jan,min,1
1898,Feb,max,59
1898,Feb,mean,26
1898,Feb,min,5
1898,Mar,max,66
1898,Mar,mean,36
1898,Mar,min,25
1898,Apr,max,72
1898,Apr,mean,37
1898,Apr,min,23
1898,May,max,84
1898,May,mean,49
1898,May,min,39
1898,Jun,max,92
1898,Jun,mean,58
1898,Jun,min,50
1898,Jul,max,99
1898,Jul,mean,64
1898,Jul,min,55
1898,Aug,max,94
1898,Aug,mean,65
1898,Aug,min,55
1898,Sep,max,92
1898,Sep,mean,57
1898,Sep,min,44
1898,Oct,max,85
1898,Oct,mean,47
1898,Oct,min,35
1898,Nov,max,63
1898,Nov,mean,36
1898,Nov,min,22
1898,Dec,max,58
1898,Dec,mean,25
1898,Dec,min,0
1899,Jan,max,57
1899,Jan,mean,20
1899,Jan,min,-3
1899,Feb,max,54
1899,Feb,mean,20
1899,Feb,min,-4
1899,Mar,max,65
1899,Mar,mean,27
1899,Mar,min,15
1899,Apr,max,83
1899,Apr,mean,39
1899,Apr,min,28
1899,May,max,89
1899,May,mean,49
1899,May,min,41
1899,Jun,max,93
1899,Jun,mean,60
1899,Jun,min,52
1899,Jul,max,94
1899,Jul,mean,64
1899,Jul,min,55
1899,Aug,max,90
1899,Aug,mean,61
1899,Aug,min,53
1899,Sep,max,82
1899,Sep,mean,54
1899,Sep,min,44
1899,Oct,max,77
1899,Oct,mean,47
1899,Oct,min,34
1899,Nov,max,66
1899,Nov,mean,35
1899,Nov,min,25
1899,Dec,max,66
1899,Dec,mean,29
1899,Dec,min,5
1900,Jan,max,60
1900,Jan,mean,21
1900,Jan,min,8
1900,Feb,max,60
1900,Feb,mean,22
1900,Feb,min,-4
1900,Mar,max,59
1900,Mar,mean,24
1900,Mar,min,7
1900,Apr,max,81
1900,Apr,mean,40
1900,Apr,min,27
1900,May,max,93
1900,May,mean,45
1900,May,min,33
1900,Jun,max,94
1900,Jun,mean,59
1900,Jun,min,46
1900,Jul,max,97
1900,Jul,mean,65
1900,Jul,min,55
1900,Aug,max,97
1900,Aug,mean,63
1900,Aug,min,52
1900,Sep,max,91
1900,Sep,mean,58
1900,Sep,min,44
1900,Oct,max,82
1900,Oct,mean,50
1900,Oct,min,32
1900,Nov,max,73
1900,Nov,mean,38
1900,Nov,min,21
1900,Dec,max,59
1900,Dec,mean,26
1900,Dec,min,8
1901,Jan,max,50
1901,Jan,mean,20
1901,Jan,min,-3
1901,Feb,max,47
