Year,Measure,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
1872,max,,,48,85,85,94,98,95,95,75,62,47,
1873,max,52,52,60,66,89,93,96,96,90,73,57,62,
1874,max,60,54,63,67,86,98,94,91,90,71,64,59,
1875,max,36,60,56,69,84,94,93,87,87,74,60,58,
1876,max,70,56,68,76,86,90,96,96,91,70,75,48,
1877,max,50,56,57,73,86,92,91,92,88,82,66,59,
1878,max,54,56,71,77,85,92,98,87,91,80,61,59,
1879,max,56,56,61,70,93,96,94,95,89,88,69,63,
1880,max,59,64,72,73,97,93,101,96,93,80,64,50,
1881,max,48,55,53,80,91,86,89,97,102,90,71,66,
1882,max,52,60,61,68,81,94,98,92,88,83,72,54,
1883,max,50,60,58,74,88,91,96,92,79,80,69,58,
1884,max,52,59,60,69,88,93,90,94,94,83,65,62,
1885,max,60,52,59,82,84,92,93,89,84,73,69,63,
1886,max,54,57,64,84,85,82,95,90,85,80,66,55,
1887,max,56,48,53,80,89,89,95,86,80,73,69,59,
1888,max,57,56,58,66,77,96,89,88,80,69,74,60,
1889,max,60,50,64,81,91,87,86,84,83,74,66,65,
1890,max,66,64,68,72,80,87,95,89,83,77,64,56,
1891,max,56,62,55,78,81,96,90,90,90,83,66,64,
1892,max,63,46,56,77,78,96,96,94,80,78,66,48,
1893,max,53,53,58,68,88,94,91,93,80,79,68,57,
1894,max,56,51,70,79,88,95,97,90,88,76,66,55,
1895,max,54,46,58,80,90,96,85,89,96,70,73,64,
1896,max,45,56,64,84,94,92,93,95,90,76,72,58,
1897,max,60,52,57,81,76,87,94,86,94,88,68,64,
1898,max,55,59,66,72,84,92,99,94,92,85,63,58,
1899,max,57,54,65,83,89,93,94,90,82,77,66,66,
1900,max,60,60,59,81,93,94,97,97,91,82,73,59,
1901,max,50,47,58,75,84,97,96,88,89,76,65,64,
1902,max,54,52,69,75,88,92,91,85,89,76,70,58,
1903,max,50,62,76,83,88,85,93,86,91,76,74,55,
1904,max,46,49,70,70,87,92,89,89,86,74,60,49,
1905,max,52,43,69,74,83,90,94,90,81,80,64,61,
1906,max,68,63,56,70,86,88,89,93,90,73,68,54,
1907,max,58,52,71,73,81,94,91,94,87,74,61,64,
1908,max,57,60,70,85,88,90,97,90,88,80,65,67,
1909,max,60,59,55,83,83,94,95,94,82,77,76,56,
1910,max,57,60,78,78,86,92,94,88,82,85,61,55,
1911,max,60,56,66,80,92,86,104,92,85,73,68,68,
1912,max,53,57,64,77,86,92,99,90,90,86,70,69,
1913,max,62,60,73,76,78,91,96,96,86,74,71,56,
1914,max,63,56,74,87,95,94,90,90,94,83,74,62,
1915,max,62,61,60,84,80,87,90,89,94,78,72,61,
1916,max,66,57,55,68,85,84,93,95,90,84,68,59,
1917,max,55,53,61,72,80,87,98,98,83,71,65,48,
1918,max,54,57,69,76,89,92,98,96,81,79,65,63,
1919,max,59,52,63,68,93,98,101,90,91,81,65,61,
1920,max,48,52,72,67,86,90,90,93,85,82,64,58,
1921,max,56,59,83,77,93,93,95,92,93,79,72,58,
1922,max,51,56,79,85,86,92,93,93,84,87,66,61,
1923,max,55,45,67,87,89,96,94,94,82,81,62,62,
1924,max,61,44,59,69,76,90,95,98,90,81,76,64,
1925,max,48,59,72,82,83,100,95,92,90,79,66,59,
1926,max,56,48,60,78,84,88,103,94,89,84,71,51,
1927,max,52,49,69,89,77,90,95,85,85,89,76,65,
1928,max,58,54,70,84,74,90,94,96,85,88,76,61,
1929,max,60,56,69,84,96,94,94,90,97,78,77,52,
1930,max,64,68,60,78,95,95,94,98,91,87,71,58,
1931,max,55,49,57,78,94,97,97,97,95,84,78,61,
1932,max,69,55,63,76,93,88,90,91,87,81,66,66,
1933,max,60,66,60,76,90,99,98,95,86,75,70,50,
1934,max,56,44,68,72,87,94,93,86,81,71,69,65,
1935,max,56,53,71,84,85,89,92,90,80,78,71,45,
1936,max,54,46,70,80,91,85,98,94,90,79,75,59,
1937,max,64,56,57,71,93,95,99,98,93,74,66,50,
1938,max,57,53,78,89,81,93,90,94,82,87,77,57,
1939,max,55,66,58,69,90,88,93,92,96,87,61,57,
1940,max,52,47,60,75,75,90,95,86,86,77,71,58,
1941,max,48,47,56,89,92,96,96,94,94,84,75,59,
1942,max,60,48,65,86,88,91,93,92,91,82,71,59,
1943,max,47,63,68,75,85,97,93,94,85,81,67,52,
1944,max,58,55,64,75,96,95,95,101,90,86,69,50,
1945,max,59,51,86,85,79,96,93,94,95,84,74,52,
1946,max,57,59,85,66,87,94,96,90,88,86,72,63,
1947,max,61,53,58,75,87,89,90,99,88,89,59,60,
1948,max,45,54,72,74,83,92,96,100,90,79,73,58,
1949,max,60,61,71,77,90,95,100,101,85,86,68,64,
1950,max,72,52,70,75,80,93,93,87,86,85,83,63,
1951,max,61,66,65,74,91,91,92,89,90,72,71,64,
1952,max,55,52,63,80,82,100,100,91,90,78,71,52,
1953,max,58,60,69,71,86,98,96,98,100,80,74,64,
1954,max,53,61,70,85,85,93,95,92,84,90,66,57,
1955,max,45,57,63,78,89,92,98,100,90,82,60,48,
1956,max,44,53,52,83,93,97,93,93,86,87,71,62,
1957,max,58,68,63,88,89,95,98,96,93,78,70,63,
1958,max,53,45,58,78,80,89,93,90,89,82,67,54,
1959,max,62,54,70,75,93,96,92,96,92,85,73,61,
1960,max,57,56,62,78,83,91,92,93,93,76,67,57,
1961,max,56,65,65,71,88,95,91,92,94,81,76,57,
1962,max,56,61,75,91,91,92,89,89,86,79,62,64,
1963,max,54,49,78,75,88,95,98,91,87,90,71,52,
1964,max,55,47,72,82,93,94,97,85,87,77,68,60,
1965,max,57,53,60,76,92,91,93,93,89,76,68,63,
1966,max,61,54,66,70,86,94,97,92,92,78,69,70,
1967,max,62,58,64,75,77,94,89,86,83,81,68,58,
1968,max,50,48,64,69,77,91,98,93,84,85,63,57,
1969,max,49,40,57,83,87,95,95,93,95,79,61,60,
1970,max,49,58,57,75,92,90,92,94,92,76,63,59,
1971,max,46,53,65,72,79,94,94,93,92,86,76,64,
1972,max,59,55,62,74,86,86,94,88,88,72,66,62,
1973,max,61,54,67,84,87,97,96,99,94,77,71,63,
1974,max,63,57,70,85,89,93,95,91,87,78,77,58,
1975,max,62,54,57,70,90,94,95,102,81,78,76,66,
1976,max,56,63,72,94,83,95,93,93,88,77,66,59,
1977,max,47,48,81,88,92,90,102,95,92,77,67,55,
1978,max,58,44,60,75,86,89,99,93,88,78,70,62,
1979,max,61,53,72,77,95,95,94,91,85,83,72,68,
1980,max,57,53,59,75,89,96,99,94,96,72,64,61,
1981,max,49,66,77,78,91,92,99,90,90,74,69,58,
1982,max,56,54,63,83,84,85,98,87,87,82,76,70,
1983,max,59,57,61,83,81,97,99,97,99,85,69,59,
1984,max,51,60,54,84,89,98,98,93,85,78,68,73,
1985,max,45,70,74,84,89,84,92,93,90,78,73,60,
1986,max,58,47,77,72,90,89,95,87,87,80,72,64,
1987,max,50,47,65,72,93,87,95,96,86,73,78,58,
1988,max,58,60,69,67,85,98,99,96,83,83,67,60,
1989,max,54,66,81,66,82,93,96,90,86,76,71,53,
1990,max,63,65,73,92,81,87,93,92,87,86,77,67,
1991,max,49,65,79,86,91,97,99,93,90,80,73,64,
1992,max,58,55,61,76,92,87,89,91,85,78,64,56,
1993,max,62,51,60,73,91,93,99,96,93,77,78,56,
1994,max,54,62,67,88,86,95,97,92,87,77,79,65,
1995,max,66,55,67,68,89,95,100,96,89,83,65,50,
1996,max,60,58,62,80,91,87,89,90,85,73,73,61,
1997,max,55,66,63,75,76,94,95,94,84,84,66,53,
1998,max,60,53,89,78,89,88,93,92,88,77,63,76,
1999,max,62,58,72,76,87,97,98,94,87,75,72,59,
2000,max,64,61,72,75,91,92,87,89,87,80,66,64,
2001,max,44,54,51,85,92,92,95,97,87,83,73,72,
2002,max,65,60,66,93,84,93,97,101,91,85,70,61,
2003,max,44,53,69,84,82,93,93,93,83,74,76,58,
2004,max,50,55,67,86,89,93,89,91,85,74,66,61,
2005,max,63,54,55,87,78,95,94,97,91,81,70,51,
2006,max,60,57,73,77,84,93,96,98,84,80,69,67,
2007,max,69,49,68,86,92,96,92,96,95,86,69,53,
2008,max,67,62,60,84,83,95,95,87,89,74,70,63,
2009,max,40,60,61,93,92,84,87,95,81,73,69,69,
2010,max,57,50,72,90,94,94,100,96,95,84,64,57,
2011,max,56,60,70,78,87,92,103,93,87,87,69,63,
2012,max,60,59,83,87,86,97,97,92,82,78,66,60,
2013,max,61,47,59,75,94,95,99,89,97,82,72,57,
2014,max,59,55,60,75,85,89,92,91,93,81,66,64,
2015,max,52,39,57,69,89,88,92,91,96,76,76,69,
2016,max,58,65,77,78,92,87,98,98,93,81,70,58,
2017,max,61,73,63,86,95,95,93,91,88,80,75,59,
2018,max,61,72,64,70,90,92,98,98,97,86,70,65,
2019,max,59,65,70,77,89,87,98,95,92,81,72,63,
2020,max,74,64,72,62,83,92,95,94,85,78,75,63,
2021,max,52,50,74,78,92,100,95,96,86,78,70,64,
2022,max,52,69,68,73,89,90,100,98,84,78,77,63,
2023,max,58,62,61,88,86,84,91,88,93,83,,,
1872,min,,,-8,28,40,47,55,50,43,35,15,-8,
1873,min,-5,-4,12,34,34,47,55,50,42,32,11,6,
1874,min,0,0,6,11,32,49,54,51,46,36,13,-2,
1875,min,-2,-5,2,21,37,46,54,54,35,30,-2,-11,
1876,min,5,-6,5,24,34,44,52,50,44,26,14,-4,
1877,min,2,13,8,29,34,47,57,58,44,31,24,14,
1878,min,-6,4,10,34,38,45,54,53,40,33,22,10,
1879,min,0,4,8,19,38,45,50,52,34,25,9,0,
1880,min,8,-5,12,22,33,48,52,47,43,27,11,-4,
1881,min,-2,-5,24,20,36,44,54,53,49,28,15,10,
1882,min,-13,4,15,19,31,48,52,51,46,39,19,6,
1883,min,0,11,8,23,37,51,51,48,41,29,14,-12,
1884,min,0,3,4,27,35,42,54,51,40,31,22,-10,
1885,min,-2,1,3,27,35,45,51,47,39,33,23,12,
1886,min,-10,-7,-1,27,38,50,54,49,41,27,24,6,
1887,min,-5,5,10,23,45,48,61,52,40,27,12,5,
1888,min,-6,-4,10,21,35,49,51,52,36,34,13,5,
1889,min,9,-1,22,32,41,50,55,52,43,32,21,10,
1890,min,8,5,4,26,39,50,52,50,39,36,15,0,
1891,min,12,2,3,27,33,45,56,54,50,28,9,11,
1892,min,1,5,14,27,39,49,54,55,46,36,20,0,
1893,min,-4,-1,13,26,38,52,54,53,43,30,20,0,
1894,min,2,-7,20,23,39,47,56,47,42,38,15,8,
1895,min,4,-6,14,27,36,50,54,50,42,32,21,8,
1896,min,-10,-11,12,25,38,49,57,52,40,33,22,4,
1897,min,2,12,7,21,39,47,55,53,41,32,13,9,
1898,min,1,5,25,23,39,50,55,55,44,35,22,0,
1899,min,-3,-4,15,28,41,52,55,53,44,34,25,5,
1900,min,8,-4,7,27,33,46,55,52,44,32,21,8,
1901,min,-3,10,9,33,38,49,53,59,44,35,12,9,
1902,min,4,12,26,34,34,49,52,53,47,33,28,-8,
1903,min,-1,3,23,26,34,48,55,52,42,31,15,2,
1904,min,-6,-1,8,26,43,48,56,52,35,27,15,6,
1905,min,4,3,12,30,38,46,59,51,41,32,13,8,
1906,min,9,-1,8,28,38,46,55,57,44,35,23,1,
1907,min,-7,-2,14,27,33,45,58,54,44,32,25,20,
1908,min,1,-2,15,24,39,49,58,47,47,35,25,10,
1909,min,3,3,17,25,38,49,53,50,46,33,27,4,
1910,min,-3,-3,17,35,40,46,58,54,47,33,26,6,
1911,min,4,4,14,23,33,50,57,55,41,34,25,15,
1912,min,-5,-1,11,27,42,45,56,49,40,36,24,15,
1913,min,13,3,10,29,37,47,60,56,41,31,27,18,
1914,min,-9,-11,16,27,38,49,51,55,34,29,20,-2,
1915,min,3,10,13,30,39,44,58,51,44,37,29,16,
1916,min,4,0,7,32,44,49,56,54,44,36,22,10,
1917,min,5,-3,17,26,36,50,56,58,40,37,13,-14,
1918,min,-3,-10,11,31,44,47,54,53,45,38,19,13,
1919,min,2,16,15,19,41,49,55,55,45,33,25,-6,
1920,min,-8,-7,10,26,36,47,56,56,45,37,22,5,
1921,min,0,8,20,32,41,49,58,55,53,31,25,2,
1922,min,0,-4,14,29,43,52,58,54,42,28,24,8,
1923,min,5,2,4,13,35,47,56,51,47,35,28,19,
1924,min,-6,10,21,28,42,48,58,56,44,36,14,-1,
1925,min,0,14,11,31,42,53,54,50,41,30,14,4,
1926,min,4,11,12,21,41,46,56,55,47,35,20,4,
1927,min,0,11,16,29,41,50,53,54,50,36,26,13,
1928,min,11,-1,17,28,41,51,57,58,42,28,18,17,
1929,min,6,14,9,29,42,45,54,54,40,34,12,7,
1930,min,8,-1,19,26,45,45,58,53,49,34,16,4,
1931,min,7,1,27,32,37,48,60,58,46,40,25,14,
1932,min,18,11,12,28,43,42,57,59,40,38,8,0,
1933,min,9,9,11,29,40,47,52,55,47,27,12,-17,
1934,min,-2,-18,6,32,41,50,57,50,52,32,23,3,
1935,min,-5,-1,16,28,37,50,58,52,42,32,20,3,
1936,min,4,4,15,29,34,52,57,54,41,25,13,10,
1937,min,15,10,15,31,42,53,55,57,45,32,23,16,
1938,min,3,8,7,25,41,48,54,56,45,38,12,13,
1939,min,4,9,9,26,39,52,56,60,45,31,21,6,
1940,min,8,10,14,26,43,46,55,46,42,28,17,2,
1941,min,3,8,12,32,36,50,57,53,40,29,26,7,
1942,min,1,1,30,32,44,48,58,50,39,36,20,-11,
1943,min,3,-14,6,20,35,49,53,56,44,35,24,0,
1944,min,6,7,10,29,40,47,59,53,42,30,29,8,
1945,min,-4,11,24,33,35,41,55,55,40,34,25,8,
1946,min,-3,4,24,24,36,45,54,52,45,38,27,8,
1947,min,8,8,22,30,36,46,59,54,37,38,25,12,
1948,min,-3,2,1,30,42,47,53,58,44,33,28,7,
1949,min,14,7,13,33,42,51,59,54,44,37,15,15,
1950,min,6,-1,2,28,35,50,56,56,38,33,27,4,
1951,min,1,8,21,37,41,51,60,54,39,37,16,9,
1952,min,1,14,17,34,39,55,56,54,46,31,28,9,
1953,min,15,10,10,32,39,49,57,55,40,38,30,12,
1954,min,3,-1,21,17,42,49,59,52,47,37,28,16,
1955,min,10,-1,17,33,42,50,59,54,43,34,22,-2,
1956,min,5,9,13,32,34,47,55,56,41,35,20,8,
1957,min,-12,13,20,31,37,51,58,52,40,35,17,17,
1958,min,4,-4,27,30,39,48,58,56,46,33,18,6,
1959,min,2,0,18,33,42,47,59,55,44,33,22,12,
1960,min,9,20,10,31,43,51,59,55,48,31,28,7,
1961,min,4,-4,16,32,38,49,57,55,46,35,27,11,
1962,min,6,-1,7,31,40,51,55,55,41,31,27,-4,
1963,min,4,-3,21,28,36,49,55,54,39,35,30,3,
1964,min,10,13,19,24,38,49,57,52,42,34,24,12,
1965,min,-4,6,18,22,42,46,54,47,38,32,26,13,
1966,min,6,3,22,34,38,51,59,59,46,32,27,14,
1967,min,7,-3,6,27,37,47,56,56,45,34,21,18,
1968,min,-4,5,11,32,44,50,58,57,51,39,32,-3,
1969,min,7,12,15,25,43,55,58,54,46,30,22,12,
1970,min,3,7,19,28,39,50,58,59,48,34,25,13,
1971,min,2,5,23,30,43,48,58,52,49,45,24,13,
1972,min,5,0,18,25,40,48,58,54,50,32,17,14,
1973,min,1,3,26,31,42,50,59,57,43,37,30,11,
1974,min,-3,8,15,27,37,48,58,57,39,30,23,17,
1975,min,11,7,14,31,43,49,56,53,46,34,33,4,
1976,min,-4,12,18,24,44,53,58,49,46,28,23,6,
1977,min,3,9,27,26,35,50,57,56,47,37,29,5,
1978,min,10,3,16,29,37,52,56,55,42,33,17,19,
1979,min,4,-3,19,33,45,50,55,54,42,32,29,5,
1980,min,11,9,7,33,44,47,57,58,45,34,26,-7,
1981,min,-4,13,20,31,40,54,56,51,44,37,26,14,
1982,min,-2,15,10,16,44,45,57,48,50,35,25,10,
1983,min,0,7,22,34,40,53,60,55,51,32,28,0,
1984,min,1,13,6,29,41,51,58,56,40,33,25,13,
1985,min,6,8,18,26,39,51,54,53,45,35,25,7,
1986,min,1,13,7,34,36,45,54,47,45,34,19,15,
1987,min,8,-1,12,31,39,50,57,54,48,37,16,3,
1988,min,-4,8,12,33,41,47,50,53,44,31,28,2,
1989,min,5,10,9,31,44,53,59,54,42,38,15,4,
1990,min,14,3,12,31,42,49,57,55,44,34,28,18,
1991,min,4,9,23,35,44,50,58,57,39,34,28,10,
1992,min,7,7,9,31,37,48,54,57,39,35,25,13,
1993,min,10,2,12,33,45,48,56,57,43,34,18,7,
1994,min,-4,3,18,34,43,50,61,56,50,39,22,13,
1995,min,12,1,19,20,38,53,59,55,46,38,23,17,
1996,min,3,4,13,32,39,51,59,59,47,36,20,5,
1997,min,0,15,17,26,43,47,56,58,44,32,22,13,
1998,min,7,7,10,34,41,48,60,57,46,38,31,11,
1999,min,2,8,13,32,43,51,55,55,50,35,27,12,
2000,min,0,13,16,34,42,46,55,56,38,33,17,8,
2001,min,12,10,17,32,38,50,56,58,48,34,29,23,
2002,min,22,13,19,28,37,47,58,58,50,32,19,12,
2003,min,1,0,9,28,39,50,59,55,49,33,27,16,
2004,min,-7,12,21,30,40,49,59,56,47,38,24,6,
2005,min,-2,13,11,33,39,48,56,60,48,33,21,10,
2006,min,10,7,18,33,44,52,62,55,45,37,32,20,
2007,min,3,8,5,28,42,50,56,55,47,37,22,17,
2008,min,7,11,25,33,40,52,61,56,48,33,22,9,
2009,min,6,8,14,34,45,48,58,56,46,34,35,10,
2010,min,6,14,25,35,40,53,60,60,51,37,28,14,
2011,min,-2,13,12,33,44,49,63,62,48,34,31,18,
2012,min,6,16,20,34,45,50,61,60,49,35,30,21,
2013,min,4,15,21,31,40,53,60,59,44,35,18,9,
